,Declaration Date,State,County,Start Date,End Date,Close Date,Year
31360,03/01/2006,NM,Colfax County,03/01/2006,03/07/2006,07/08/2010,2006
31428,03/30/2006,KS,Reno County,03/30/2006,,07/15/2010,2006
31451,04/06/2006,OK,McClain County,04/06/2006,,04/09/2010,2006
31452,04/06/2006,OK,Caddo County,04/06/2006,,04/09/2010,2006
31453,04/06/2006,OK,Kay County,04/06/2006,04/15/2006,04/09/2010,2006
31454,04/12/2006,NM,Mora County,04/12/2006,,07/08/2010,2006
31465,04/15/2006,VA,Patrick County,04/15/2006,,04/18/2007,2006
31473,05/15/2006,FL,Volusia County,05/15/2006,06/26/2006,09/16/2010,2006
31496,05/26/2006,TX,Fort Bend County,05/26/2006,,07/12/2010,2006
31497,06/02/2006,AZ,Yavapai County,06/01/2006,06/07/2006,03/31/2009,2006
31542,06/08/2006,AK,Yukon Koyukuk Regional Educational Attendance Area,06/07/2006,06/25/2006,12/31/2008,2006
31543,06/13/2006,AZ,Navajo County,06/12/2006,06/18/2006,12/30/2008,2006
31544,06/14/2006,AZ,Coconino County,06/14/2006,06/17/2006,12/30/2008,2006
31545,06/16/2006,NM,Bernalillo County,06/15/2006,,07/08/2010,2006
31546,06/18/2006,AZ,Coconino County,06/18/2006,06/28/2006,11/12/2008,2006
31547,06/19/2006,CO,Costilla County,06/18/2006,07/01/2006,09/30/2009,2006
31548,06/21/2006,NM,Colfax County,06/18/2006,,07/08/2010,2006
31549,06/21/2006,NM,Mora County,06/18/2006,,07/08/2010,2006
31550,06/26/2006,NV,Elko County,06/26/2006,07/04/2006,12/06/2007,2006
31551,06/27/2006,TX,Denton County,06/27/2006,,09/13/2010,2006
31552,06/27/2006,NV,Carson City,06/26/2006,06/30/2006,03/25/2008,2006
31553,06/27/2006,NV,Lyon County,06/26/2006,06/30/2006,03/25/2008,2006
31554,06/27/2006,NV,Storey County,06/26/2006,06/30/2006,03/25/2008,2006
31555,06/27/2006,NV,Washoe County,06/26/2006,06/29/2006,12/06/2007,2006
31619,07/11/2006,MT,Stillwater County,07/10/2006,07/13/2006,01/05/2011,2006
31620,07/12/2006,CA,San Bernardino County,07/11/2006,07/25/2006,10/13/2009,2006
31637,07/14/2006,WY,Crook County,07/13/2006,07/24/2006,09/24/2008,2006
31638,07/17/2006,NE,Cherry County,07/16/2006,07/31/2006,09/23/2008,2006
31647,07/24/2006,CA,San Diego County,07/24/2006,07/29/2006,10/13/2009,2006
31648,07/25/2006,OR,Baker County,07/24/2006,08/04/2006,04/10/2012,2006
31649,07/27/2006,OR,Deschutes County,07/27/2006,08/14/2006,04/10/2012,2006
31650,07/27/2006,SD,Meade County,07/27/2006,08/07/2006,06/17/2008,2006
31651,07/28/2006,NE,Dawes County,07/27/2006,08/20/2006,09/23/2008,2006
31652,07/29/2006,NE,Sioux County,07/28/2006,08/25/2006,09/23/2008,2006
31653,07/30/2006,CA,Trinity County,07/29/2006,08/02/2006,10/13/2009,2006
31660,08/08/2006,WA,Stevens County,08/08/2006,08/11/2006,03/24/2008,2006
31661,08/12/2006,NV,Washoe County,08/11/2006,08/14/2006,03/25/2008,2006
31662,08/14/2006,WY,Natrona County,08/14/2006,08/25/2006,09/24/2008,2006
31665,08/16/2006,TX,Comal County,08/16/2006,,07/12/2010,2006
31666,08/19/2006,TX,Palo Pinto County,08/18/2006,,07/12/2010,2006
31667,08/19/2006,TX,Stephens County,08/18/2006,,07/12/2010,2006
31668,08/22/2006,MT,Yellowstone County,08/22/2006,08/27/2006,08/11/2010,2006
31669,08/22/2006,WA,Columbia County,08/21/2006,09/12/2006,03/24/2008,2006
31670,08/22/2006,WA,Walla Walla County,08/21/2006,09/12/2006,03/24/2008,2006
31671,08/24/2006,NV,Elko County,08/23/2006,08/30/2006,12/06/2007,2006
31672,08/30/2006,MT,Stillwater County,08/30/2006,09/15/2006,03/09/2010,2006
31673,08/30/2006,MT,Sweet Grass County,08/30/2006,09/15/2006,03/09/2010,2006
31694,09/01/2006,CO,Garfield County,08/31/2006,09/03/2006,09/30/2009,2006
31695,09/02/2006,HI,Maui County,09/01/2006,09/06/2006,01/15/2009,2006
31707,09/11/2006,WA,Chelan County,09/09/2006,09/16/2006,03/24/2008,2006
31708,09/14/2006,TX,Travis County,09/14/2006,,07/12/2010,2006
31709,09/17/2006,CA,Riverside County,09/16/2006,09/18/2006,10/15/2009,2006
31736,09/26/2006,CA,Ventura County,09/25/2006,09/30/2006,10/15/2009,2006
31755,10/26/2006,CA,Riverside County,10/26/2006,10/31/2006,10/15/2009,2006
31756,10/27/2006,AK,Lower Yukon Regional Educational Attendance Area,08/03/2006,08/04/2006,08/31/2011,2006
31782,11/11/2006,NV,Washoe County,11/11/2006,11/12/2006,02/11/2008,2006
31783,11/15/2006,TX,Hays County,11/15/2006,,07/12/2010,2006
31784,12/03/2006,CA,Ventura County,12/03/2006,12/06/2006,01/05/2010,2006
32217,02/24/2007,NM,Valencia County,02/23/2007,03/05/2007,07/08/2010,2007
32242,03/11/2007,CA,Orange County,03/11/2007,03/14/2007,01/05/2010,2007
32356,03/26/2007,FL,Polk County,03/25/2007,03/28/2007,09/16/2010,2007
32389,04/17/2007,GA,Charlton County,04/16/2007,,08/28/2012,2007
32390,04/17/2007,GA,Ware County,04/16/2007,,08/28/2012,2007
32422,04/26/2007,GA,Brantley County,04/26/2007,,08/28/2012,2007
32471,05/02/2007,FL,Flagler County,05/01/2007,,06/08/2011,2007
32472,05/02/2007,FL,Lake County,05/01/2007,,06/08/2011,2007
32473,05/02/2007,FL,Seminole County,05/01/2007,,06/08/2011,2007
32474,05/02/2007,FL,Volusia County,05/01/2007,,06/08/2011,2007
32483,05/05/2007,GA,Atkinson County,05/04/2007,,08/28/2012,2007
32526,05/07/2007,FL,Alachua County,05/07/2007,,09/16/2010,2007
32527,05/07/2007,FL,Baker County,05/07/2007,,09/16/2010,2007
32528,05/07/2007,FL,Bradford County,05/07/2007,,09/16/2010,2007
32529,05/07/2007,FL,Clay County,05/07/2007,,09/16/2010,2007
32530,05/07/2007,FL,Columbia County,05/07/2007,,09/16/2010,2007
32531,05/07/2007,FL,Hamilton County,05/07/2007,,09/16/2010,2007
32532,05/07/2007,FL,Suwannee County,05/07/2007,,09/16/2010,2007
32533,05/07/2007,FL,Union County,05/07/2007,,09/16/2010,2007
32534,05/08/2007,FL,Walton County,05/07/2007,,09/16/2010,2007
32535,05/09/2007,GA,Charlton County,05/09/2007,,08/28/2012,2007
32536,05/09/2007,FL,Collier County,05/07/2007,,09/16/2010,2007
32537,05/09/2007,FL,Hendry County,05/07/2007,,09/16/2010,2007
32538,05/09/2007,FL,Lee County,05/07/2007,,09/16/2010,2007
32539,05/09/2007,CA,Los Angeles County,05/08/2007,05/11/2007,01/05/2010,2007
32540,05/10/2007,CA,Los Angeles County,05/10/2007,05/15/2007,01/05/2010,2007
32556,05/16/2007,NJ,Burlington County,05/15/2007,,03/31/2010,2007
32557,05/16/2007,NJ,Ocean County,05/15/2007,,03/31/2010,2007
32614,05/31/2007,GA,Bryan County,05/31/2007,,07/24/2012,2007
32691,06/19/2007,CO,Garfield County,06/19/2007,06/23/2007,10/06/2010,2007
